At least,But less than,Single,Married filing jointly,Married filing separately,Head of a house hold
34000,34050,525,525,525,525
34050,34100,526,526,526,526
34100,34150,527,527,527,527
34150,34200,528,528,528,528
34200,34250,529,529,529,529
34250,34300,530,530,530,530
34300,34350,531,531,531,531
34350,34400,532,532,532,532
34400,34450,532,532,532,532
34450,34500,533,533,533,533
34500,34550,534,534,534,534
34550,34600,535,535,535,535
34600,34650,536,536,536,536
34650,34700,537,537,537,537
34700,34750,538,538,538,538
34750,34800,539,539,539,539
34800,34850,539,539,539,539
34850,34900,540,540,540,540
34900,34950,541,541,541,541
34950,35000,542,542,542,542
35000,35050,543,543,543,543
35050,35100,545,544,545,544
35100,35150,547,545,547,545
35150,35200,549,546,549,546
35200,35250,550,546,550,546
35250,35300,552,547,552,547
35300,35350,554,548,554,548
35350,35400,556,549,556,549
35400,35450,557,550,557,550
35450,35500,559,551,559,551
35500,35550,561,552,561,552
35550,35600,563,553,563,553
35600,35650,564,553,564,553
35650,35700,566,554,566,554
35700,35750,568,555,568,555
35750,35800,570,556,570,556
35800,35850,571,557,571,557
35850,35900,573,558,573,558
35900,35950,575,559,575,559
35950,36000,577,560,577,560
36000,36050,578,560,578,560
36050,36100,580,561,580,561
36100,36150,582,562,582,562
36150,36200,584,563,584,563
36200,36250,585,564,585,564
36250,36300,587,565,587,565
36300,36350,589,566,589,566
36350,36400,591,567,591,567
36400,36450,592,567,592,567
36450,36500,594,568,594,568
36500,36550,596,569,596,569
36550,36600,598,570,598,570
36600,36650,599,571,599,571
36650,36700,601,572,601,572
36700,36750,603,573,603,573
36750,36800,605,574,605,574
36800,36850,606,574,606,574
36850,36900,608,575,608,575
36900,36950,610,576,610,576
36950,37000,612,577,612,577
37000,37050,613,578,613,578
37050,37100,615,579,615,579
37100,37150,617,580,617,580
37150,37200,619,581,619,581
37200,37250,620,581,620,581
37250,37300,622,582,622,582
37300,37350,624,583,624,583
37350,37400,626,584,626,584
37400,37450,627,585,627,585
37450,37500,629,586,629,586
37500,37550,631,587,631,587
37550,37600,633,588,633,588
37600,37650,634,588,634,588
37650,37700,636,589,636,589
37700,37750,638,590,638,590
37750,37800,640,591,640,591
37800,37850,641,592,641,592
37850,37900,643,593,643,593
37900,37950,645,594,645,594
37950,38000,647,595,647,595
38000,38050,648,595,648,595
38050,38100,650,596,650,596
38100,38150,652,597,652,597
38150,38200,654,598,654,598
38200,38250,655,599,655,599
38250,38300,657,600,657,600
38300,38350,659,601,659,601
38350,38400,661,602,661,602
38400,38450,662,602,662,602
38450,38500,664,603,664,603
38500,38550,666,604,666,604
38550,38600,668,605,668,605
38600,38650,669,606,669,606
38650,38700,671,607,671,607
38700,38750,673,608,673,608
38750,38800,675,609,675,609
38800,38850,676,609,676,609
38850,38900,678,610,678,610
38900,38950,680,611,680,611
38950,39000,682,612,682,612
39000,39050,683,613,683,613
39050,39100,685,614,685,614
39100,39150,687,615,687,615
39150,39200,689,616,689,616
39200,39250,690,616,690,616
39250,39300,692,617,692,617
39300,39350,694,618,694,618
39350,39400,696,619,696,619
39400,39450,697,620,697,620
39450,39500,699,621,699,621
39500,39550,701,622,701,622
39550,39600,703,623,703,623
39600,39650,704,623,704,623
39650,39700,706,624,706,624
39700,39750,708,625,708,625
39750,39800,710,626,710,626
39800,39850,711,627,711,627
39850,39900,713,628,713,628
39900,39950,715,629,715,629
39950,40000,717,630,717,630
40000,40050,719,630,719,630
40050,40100,722,631,722,631
40100,40150,724,632,724,632
40150,40200,727,633,727,633
40200,40250,730,634,730,634
40250,40300,733,635,733,635
40300,40350,735,636,735,636
40350,40400,738,637,738,637
40400,40450,741,637,741,637
40450,40500,744,638,744,638
40500,40550,747,639,747,639
40550,40600,749,640,749,640
40600,40650,752,641,752,641
40650,40700,755,642,755,642
40700,40750,758,643,758,643
40750,40800,760,644,760,644
40800,40850,763,644,763,644
40850,40900,766,645,766,645
40900,40950,769,646,769,646
40950,41000,771,647,771,647
41000,41050,774,648,774,648
41050,41100,777,649,777,649
41100,41150,780,650,780,650
41150,41200,782,651,782,651
41200,41250,785,651,785,651
41250,41300,788,652,788,652
41300,41350,791,653,791,653
41350,41400,793,654,793,654
41400,41450,796,655,796,655
41450,41500,799,656,799,656
41500,41550,802,657,802,657
41550,41600,805,658,805,658
41600,41650,807,658,807,658
41650,41700,810,659,810,659
41700,41750,813,660,813,660
41750,41800,816,661,816,661
41800,41850,818,662,818,662
41850,41900,821,663,821,663
41900,41950,824,664,824,664
41950,42000,827,665,827,665
42000,42050,829,665,829,665
42050,42100,832,666,832,666
42100,42150,835,667,835,667
42150,42200,838,668,838,668
42200,42250,840,669,840,669
42250,42300,843,670,843,670
42300,42350,846,671,846,671
42350,42400,849,672,849,672
42400,42450,851,672,851,672
42450,42500,854,673,854,673
42500,42550,857,674,857,674
42550,42600,860,675,860,675
42600,42650,863,676,863,676
42650,42700,865,677,865,677
42700,42750,868,678,868,678
42750,42800,871,679,871,679
42800,42850,874,679,874,679
42850,42900,876,680,876,680
42900,42950,879,681,879,681
42950,43000,882,682,882,682
43000,43050,885,683,885,683
43050,43100,887,684,887,684
43100,43150,890,685,890,685
43150,43200,893,686,893,686
43200,43250,896,686,896,686
43250,43300,898,687,898,687
43300,43350,901,688,901,688
43350,43400,904,689,904,689
43400,43450,907,690,907,690
43450,43500,909,691,909,691
43500,43550,912,692,912,692
43550,43600,915,693,915,693
43600,43650,918,693,918,693
43650,43700,921,694,921,694
43700,43750,923,695,923,695
43750,43800,926,696,926,696
43800,43850,929,697,929,697
43850,43900,932,698,932,698
43900,43950,934,699,934,699
43950,44000,937,700,937,700
44000,44050,940,700,940,700
44050,44100,943,701,943,701
44100,44150,945,702,945,702
44150,44200,948,703,948,703
44200,44250,951,704,951,704
44250,44300,954,705,954,705
44300,44350,956,706,956,706
44350,44400,959,707,959,707
44400,44450,962,707,962,707
44450,44500,965,708,965,708
44500,44550,968,709,968,709
44550,44600,970,710,970,710
44600,44650,973,711,973,711
44650,44700,976,712,976,712
44700,44750,979,713,979,713
44750,44800,981,714,981,714
44800,44850,984,714,984,714
44850,44900,987,715,987,715
44900,44950,990,716,990,716
44950,45000,992,717,992,717
45000,45050,995,718,995,718
45050,45100,998,719,998,719
45100,45150,1001,720,1001,720
45150,45200,1003,721,1003,721
45200,45250,1006,721,1006,721
45250,45300,1009,722,1009,722
45300,45350,1012,723,1012,723
45350,45400,1014,724,1014,724
45400,45450,1017,725,1017,725
45450,45500,1020,726,1020,726
45500,45550,1023,727,1023,727
45550,45600,1026,728,1026,728
45600,45650,1028,728,1028,728
45650,45700,1031,729,1031,729
45700,45750,1034,730,1034,730
45750,45800,1037,731,1037,731
45800,45850,1039,732,1039,732
45850,45900,1042,733,1042,733
45900,45950,1045,734,1045,734
45950,46000,1048,735,1048,735
46000,46050,1050,735,1050,735
46050,46100,1053,736,1053,736
46100,46150,1056,737,1056,737
46150,46200,1059,738,1059,738
46200,46250,1061,739,1061,739
46250,46300,1064,740,1064,740
46300,46350,1067,741,1067,741
46350,46400,1070,742,1070,742
46400,46450,1072,742,1072,742
46450,46500,1075,743,1075,743
46500,46550,1078,744,1078,744
46550,46600,1081,745,1081,745
46600,46650,1084,746,1084,746
46650,46700,1086,747,1086,747
