At least,But less than,Single,Married filing jointly,Head of a house hold,Married filing separately
33150,33200,1801,1513,1631,1801
33200,33250,1805,1516,1634,1805
33250,33300,1808,1519,1637,1808
33300,33350,1811,1522,1641,1811
33350,33400,1814,1525,1644,1814
33400,33450,1818,1528,1647,1818
33450,33500,1821,1531,1650,1821
33500,33550,1824,1534,1653,1824
33550,33600,1827,1537,1657,1827
33600,33650,1831,1540,1660,1831
33650,33700,1834,1543,1663,1834
33700,33750,1837,1546,1666,1837
33750,33800,1840,1549,1670,1840
33800,33850,1843,1552,1673,1843
33850,33900,1847,1555,1676,1847
33900,33950,1850,1557,1679,1850
33950,34000,1853,1560,1682,1853
34000,34050,1856,1563,1686,1856
34050,34100,1860,1566,1689,1860
34100,34150,1863,1569,1692,1863
34150,34200,1866,1572,1695,1866
34200,34250,1869,1575,1699,1869
34250,34300,1872,1578,1702,1872
34300,34350,1876,1581,1705,1876
34350,34400,1879,1584,1708,1879
34400,34450,1882,1587,1712,1882
34450,34500,1885,1590,1715,1885
34500,34550,1889,1593,1718,1889
34550,34600,1892,1596,1721,1892
34600,34650,1895,1599,1724,1895
34650,34700,1898,1602,1728,1898
34700,34750,1901,1605,1731,1901
34750,34800,1905,1608,1734,1905
34800,34850,1908,1611,1737,1908
34850,34900,1911,1614,1741,1911
34900,34950,1914,1616,1744,1914
34950,35000,1918,1619,1747,1918
35000,35050,1921,1622,1750,1921
35050,35100,1924,1625,1753,1924
35100,35150,1927,1628,1757,1927
35150,35200,1930,1631,1760,1930
35200,35250,1934,1634,1763,1934
35250,35300,1937,1637,1766,1937
35300,35350,1940,1640,1770,1940
35350,35400,1943,1643,1773,1943
35400,35450,1947,1646,1776,1947
35450,35500,1950,1649,1779,1950
35500,35550,1953,1652,1782,1953
35550,35600,1956,1655,1786,1956
35600,35650,1960,1658,1789,1960
35650,35700,1963,1661,1792,1963
35700,35750,1966,1664,1795,1966
35750,35800,1969,1667,1799,1969
35800,35850,1972,1670,1802,1972
35850,35900,1976,1673,1805,1976
35900,35950,1979,1675,1808,1979
35950,36000,1982,1678,1811,1982
36000,36050,1985,1681,1815,1985
36050,36100,1989,1684,1818,1989
36100,36150,1992,1687,1821,1992
36150,36200,1995,1690,1824,1995
36200,36250,1998,1693,1828,1998
36250,36300,2001,1696,1831,2001
36300,36350,2005,1699,1834,2005
36350,36400,2008,1702,1837,2008
36400,36450,2011,1705,1841,2011
36450,36500,2014,1708,1844,2014
36500,36550,2018,1711,1847,2018
36550,36600,2021,1714,1850,2021
36600,36650,2024,1717,1853,2024
36650,36700,2027,1720,1857,2027
36700,36750,2030,1723,1860,2030
36750,36800,2034,1726,1863,2034
36800,36850,2037,1729,1866,2037
36850,36900,2040,1732,1870,2040
36900,36950,2043,1734,1873,2043
36950,37000,2047,1737,1876,2047
37000,37050,2050,1740,1879,2050
37050,37100,2053,1743,1882,2053
37100,37150,2056,1746,1886,2056
37150,37200,2059,1749,1889,2059
37200,37250,2063,1752,1892,2063
37250,37300,2066,1755,1895,2066
37300,37350,2069,1758,1899,2069
37350,37400,2072,1761,1902,2072
37400,37450,2076,1764,1905,2076
37450,37500,2079,1767,1908,2079
37500,37550,2082,1770,1911,2082
37550,37600,2085,1773,1915,2085
37600,37650,2089,1776,1918,2089
37650,37700,2092,1779,1921,2092
37700,37750,2095,1782,1924,2095
37750,37800,2098,1785,1928,2098
37800,37850,2101,1788,1931,2101
37850,37900,2105,1791,1934,2105
37900,37950,2108,1793,1937,2108
37950,38000,2111,1796,1940,2111
38000,38050,2114,1799,1944,2114
38050,38100,2118,1802,1947,2118
38100,38150,2121,1805,1950,2121
38150,38200,2124,1808,1953,2124
38200,38250,2127,1811,1957,2127
38250,38300,2130,1814,1960,2130
38300,38350,2134,1817,1963,2134
38350,38400,2137,1820,1966,2137
38400,38450,2140,1823,1970,2140
38450,38500,2143,1826,1973,2143
38500,38550,2147,1829,1976,2147
38550,38600,2150,1832,1979,2150
38600,38650,2153,1835,1982,2153
38650,38700,2156,1838,1986,2156
38700,38750,2159,1841,1989,2159
38750,38800,2163,1844,1992,2163
38800,38850,2166,1847,1995,2166
38850,38900,2169,1850,1999,2169
38900,38950,2172,1852,2002,2172
38950,39000,2176,1855,2005,2176
39000,39050,2179,1858,2008,2179
39050,39100,2182,1861,2011,2182
39100,39150,2185,1864,2015,2185
39150,39200,2188,1867,2018,2188
39200,39250,2192,1870,2021,2192
39250,39300,2195,1873,2024,2195
39300,39350,2198,1876,2028,2198
39350,39400,2201,1879,2031,2201
39400,39450,2205,1882,2034,2205
39450,39500,2208,1885,2037,2208
39500,39550,2211,1888,2040,2211
39550,39600,2214,1891,2044,2214
39600,39650,2218,1894,2047,2218
39650,39700,2221,1897,2050,2221
39700,39750,2224,1900,2053,2224
39750,39800,2227,1903,2057,2227
39800,39850,2230,1906,2060,2230
39850,39900,2234,1909,2063,2234
39900,39950,2237,1911,2066,2237
39950,40000,2240,1914,2069,2240
40000,40050,2243,1917,2073,2243
40050,40100,2247,1920,2076,2247
40100,40150,2250,1923,2079,2250
40150,40200,2253,1926,2082,2253
40200,40250,2256,1929,2086,2256
40250,40300,2259,1932,2089,2259
40300,40350,2263,1935,2092,2263
40350,40400,2266,1938,2095,2266
40400,40450,2269,1941,2099,2269
40450,40500,2272,1944,2102,2272
40500,40550,2276,1947,2105,2276
40550,40600,2279,1950,2108,2279
40600,40650,2282,1953,2111,2282
40650,40700,2285,1956,2115,2285
40700,40750,2288,1959,2118,2288
40750,40800,2292,1962,2121,2292
40800,40850,2295,1965,2124,2295
40850,40900,2298,1968,2128,2298
40900,40950,2301,1970,2131,2301
40950,41000,2305,1973,2134,2305
41000,41050,2308,1976,2137,2308
41050,41100,2311,1979,2140,2311
41100,41150,2314,1982,2144,2314
41150,41200,2317,1985,2147,2317
41200,41250,2321,1988,2150,2321
41250,41300,2324,1991,2153,2324
41300,41350,2327,1994,2157,2327
41350,41400,2330,1997,2160,2330
41400,41450,2334,2000,2163,2334
41450,41500,2337,2003,2166,2337
41500,41550,2340,2006,2169,2340
41550,41600,2343,2009,2173,2343
41600,41650,2347,2012,2176,2347
41650,41700,2350,2015,2179,2350
41700,41750,2353,2018,2182,2353
41750,41800,2356,2021,2186,2356
41800,41850,2359,2024,2189,2359
41850,41900,2363,2027,2192,2363
41900,41950,2366,2029,2195,2366
41950,42000,2369,2032,2198,2369
42000,42050,2372,2035,2202,2372
42050,42100,2376,2038,2205,2376
42100,42150,2379,2041,2208,2379
42150,42200,2382,2044,2211,2382
42200,42250,2385,2047,2215,2385
42250,42300,2388,2050,2218,2388
42300,42350,2392,2053,2221,2392
42350,42400,2395,2056,2224,2395
42400,42450,2398,2059,2228,2398
42450,42500,2401,2062,2231,2401
42500,42550,2405,2065,2234,2405
42550,42600,2408,2068,2237,2408
42600,42650,2411,2071,2240,2411
42650,42700,2414,2074,2244,2414
42700,42750,2417,2077,2247,2417
42750,42800,2421,2080,2250,2421
42800,42850,2424,2083,2253,2424
42850,42900,2427,2086,2257,2427
42900,42950,2430,2088,2260,2430
42950,43000,2434,2091,2263,2434
43000,43050,2437,2095,2266,2437
43050,43100,2440,2098,2269,2440
43100,43150,2443,2101,2273,2443
43150,43200,2446,2104,2276,2446
43200,43250,2450,2108,2279,2450
43250,43300,2453,2111,2282,2453
43300,43350,2456,2114,2286,2456
43350,43400,2459,2117,2289,2459
43400,43450,2463,2120,2292,2463
43450,43500,2466,2124,2295,2466
43500,43550,2469,2127,2298,2469
43550,43600,2472,2130,2302,2472
43600,43650,2476,2133,2305,2476
43650,43700,2479,2137,2308,2479
43700,43750,2482,2140,2311,2482
43750,43800,2485,2143,2315,2485
43800,43850,2488,2146,2318,2488
43850,43900,2492,2149,2321,2492
43900,43950,2495,2153,2324,2495
43950,44000,2498,2156,2327,2498
44000,44050,2501,2159,2331,2501
44050,44100,2505,2162,2334,2505
44100,44150,2508,2166,2337,2508
44150,44200,2511,2169,2340,2511
44200,44250,2514,2172,2344,2514
44250,44300,2517,2175,2347,2517
44300,44350,2521,2178,2350,2521
44350,44400,2524,2182,2353,2524
44400,44450,2527,2185,2357,2527
44450,44500,2530,2188,2360,2530
44500,44550,2534,2191,2363,2534
44550,44600,2537,2195,2366,2537
44600,44650,2540,2198,2369,2540
44650,44700,2543,2201,2373,2543
44700,44750,2546,2204,2376,2546
44750,44800,2550,2207,2379,2550
44800,44850,2553,2211,2382,2553
44850,44900,2556,2214,2386,2556
44900,44950,2559,2217,2389,2559
44950,45000,2563,2220,2392,2563
45000,45050,2566,2224,2395,2566
45050,45100,2569,2227,2398,2569
45100,45150,2572,2230,2402,2572
45150,45200,2575,2233,2405,2575
45200,45250,2579,2237,2408,2579
45250,45300,2582,2240,2411,2582
45300,45350,2585,2243,2415,2585
45350,45400,2588,2246,2418,2588
45400,45450,2592,2249,2421,2592
45450,45500,2595,2253,2424,2595
45500,45550,2598,2256,2427,2598
45550,45600,2601,2259,2431,2601
45600,45650,2605,2262,2434,2605
45650,45700,2608,2266,2437,2608
45700,45750,2611,2269,2440,2611
45750,45800,2614,2272,2444,2614
45800,45850,2617,2275,2447,2617
45850,45900,2621,2278,2450,2621
45900,45950,2624,2282,2453,2624
45950,46000,2627,2285,2456,2627
46000,46050,2630,2288,2460,2630
46050,46100,2634,2291,2463,2634
46100,46150,2637,2295,2466,2637
46150,46200,2640,2298,2469,2640
46200,46250,2643,2301,2473,2643
46250,46300,2646,2304,2476,2646
46300,46350,2650,2307,2479,2650
46350,46400,2653,2311,2482,2653
46400,46450,2656,2314,2486,2656
46450,46500,2659,2317,2489,2659
46500,46550,2663,2320,2492,2663
46550,46600,2666,2324,2495,2666
46600,46650,2669,2327,2498,2669
46650,46700,2672,2330,2502,2672
